tconst	averageRating	numVotes
tt0000005	6.2	2596
tt0000006	5.1	177
tt0000007	5.4	814
tt0000008	5.4	2097
tt0000009	5.3	204
tt0111161	9.3	2711899
tt0249336	9.0	3114
tt0259534	9.2	8884
tt0267277	9.0	1781
tt0283524	9.0	1833
tt0989831	9.3	2158
tt15242712	9.1	2156
tt15341106	9.1	4459
tt17592606	9.1	13122
tt16747572	9.6	10349
tt21093976	9.3	1120
tt21288778	9.4	2578
tt26744184	9.2	998
